Date,Price,Open,High,Low,Vol,Co,Hl,Ind,Rvn,Gap,Gaug,rVol,Tckr
2003-09-17,1.3667,1.3667,1.3704,1.3636,0.0,0.0,0.49867996479906473,100.0,0.0,0.0,45.58823529411822,0.0,CAD
2003-09-18,1.3615,1.366,1.3685,1.3597,0.0,-0.3294289897511127,0.647201588585733,49.09947757220714,-0.38047852491402967,-0.05121826296918819,20.454545454545396,NaN,CAD
2003-09-19,1.3472,1.362,1.363,1.3457,0.0,-1.0866372980910532,1.2855762800029868,15.474692945600355,-1.0503121557106088,0.03672420124862796,8.670520231214155,NaN,CAD
2003-09-22,1.3542,1.3413,1.3553,1.3365,0.0,0.9617535227018692,1.4066591844369647,31.628532814306066,0.5195961995249521,-0.43794536817102214,94.14893617021339,NaN,CAD
2003-09-23,1.3551,1.3549,1.3577,1.3458,0.0,0.014761236991667204,0.8842324268093282,98.33061573584993,0.06645990252547307,0.05169103529758523,78.15126050420186,NaN,CAD
2003-09-24,1.3501,1.3548,1.3595,1.3483,0.0,-0.3469146737525741,0.8306756656530245,58.23704869458866,-0.36897645930188405,-0.022138587558107048,16.07142857142896,NaN,CAD
2003-09-25,1.3495,1.3505,1.3521,1.3451,0.0,-0.07404664938912564,0.5204074046539331,85.77140741524111,-0.04444115250723524,0.02962743500480869,62.85714285714123,NaN,CAD
2003-09-26,1.3528,1.3493,1.3575,1.3483,0.0,0.25939375972727774,0.682340725357844,61.98471671301134,0.24453501296777258,-0.014820303816232006,48.913043478260974,NaN,CAD
2003-09-29,1.3519,1.3535,1.3638,1.3498,0.0,-0.11821204285185072,1.0371906949177445,88.60267032561204,-0.06652868125368583,0.051744529863984035,15.000000000000158,NaN,CAD
2003-09-30,1.3502,1.3522,1.3553,1.3424,0.0,-0.14790711433220194,0.9609654350417163,84.60848757522885,-0.12574894592795038,0.022190990457882087,60.46511627907041,NaN,CAD
2003-10-01,1.3451,1.3497,1.3512,1.343,0.0,-0.3408164777357836,0.6105733432613558,44.180911024493064,-0.37772181898978463,-0.03703155088136123,25.60975609756091,NaN,CAD
2003-10-02,1.3402,1.3449,1.3513,1.3376,0.0,-0.34946836195999254,1.0242224880382844,65.87964372571658,-0.36428518325773984,-0.014868782990107299,18.97810218978211,NaN,CAD
2003-10-03,1.3431,1.3397,1.3482,1.3369,0.0,0.25378816152870076,0.8452389857132259,69.97438998692773,0.21638561408743318,-0.03730786449784862,54.867256637167564,NaN,CAD
