Date,Price,Tckr,Rvn,Title,Freq,Units,Adjustment,LastUpdt,Popularity,Since,Notes
2018-04-03,1.83,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-04,1.74,SOFR,-4.91803278688525,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-05,1.75,SOFR,0.5747126436781614,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-06,1.75,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-09,1.75,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-10,1.75,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-11,1.76,SOFR,0.571428571428572,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-12,1.73,SOFR,-1.7045454545454561,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-13,1.72,SOFR,-0.5780346820809253,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-16,1.77,SOFR,2.9069767441860495,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-17,1.76,SOFR,-0.56497175141243,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-18,1.75,SOFR,-0.5681818181818187,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-19,1.73,SOFR,-1.142857142857144,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-20,1.72,SOFR,-0.5780346820809253,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-23,1.7,SOFR,-1.1627906976744196,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-24,1.71,SOFR,0.5882352941176475,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-25,1.71,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-26,1.72,SOFR,0.5847953216374274,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-27,1.72,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-04-30,1.77,SOFR,2.9069767441860495,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-01,1.76,SOFR,-0.56497175141243,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-02,1.75,SOFR,-0.5681818181818187,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-03,1.74,SOFR,-0.571428571428572,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-04,1.72,SOFR,-1.1494252873563229,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-07,1.71,SOFR,-0.5813953488372098,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-08,1.72,SOFR,0.5847953216374274,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-09,1.72,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-10,1.73,SOFR,0.5813953488372098,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-11,1.73,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-14,1.75,SOFR,1.1560693641618507,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-15,1.79,SOFR,2.285714285714288,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-16,1.75,SOFR,-2.2346368715083815,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-17,1.74,SOFR,-0.571428571428572,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-18,1.73,SOFR,-0.5747126436781614,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-21,1.69,SOFR,-2.3121387283237014,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-22,1.65,SOFR,-2.3668639053254457,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-23,1.67,SOFR,1.2121212121212133,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-24,1.74,SOFR,4.19161676646707,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-25,1.73,SOFR,-0.5747126436781614,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-29,1.72,SOFR,-0.5780346820809253,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-30,1.72,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-31,1.81,SOFR,5.232558139534889,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-01,1.81,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-04,1.8,SOFR,-0.5524861878453043,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-05,1.75,SOFR,-2.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-06,1.73,SOFR,-1.142857142857144,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-07,1.71,SOFR,-1.1560693641618507,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-08,1.69,SOFR,-1.1695906432748548,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-11,1.69,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-12,1.67,SOFR,-1.1834319526627228,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-13,1.71,SOFR,2.3952095808383254,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-14,1.9,SOFR,11.111111111111107,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-15,1.91,SOFR,0.5263157894736847,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-18,1.9,SOFR,-0.5235602094240842,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-19,1.88,SOFR,-1.0526315789473695,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-20,1.87,SOFR,-0.5319148936170099,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-21,1.87,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-22,1.92,SOFR,2.6737967914438405,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-25,1.91,SOFR,-0.5208333333333338,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-26,1.9,SOFR,-0.5235602094240842,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-27,1.9,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-28,1.93,SOFR,1.578947368421054,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-29,2.12,SOFR,9.844559585492236,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-02,2.04,SOFR,-3.7735849056603805,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-03,2,SOFR,-1.960784313725492,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-05,1.97,SOFR,-1.5000000000000013,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-06,1.93,SOFR,-2.0304568527918803,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-09,1.89,SOFR,-2.072538860103629,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-10,1.89,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-11,1.89,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-12,1.9,SOFR,0.5291005291005296,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-13,1.9,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-16,1.95,SOFR,2.631578947368424,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-17,1.92,SOFR,-1.5384615384615399,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-18,1.9,SOFR,-1.0416666666666676,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-19,1.9,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-20,1.88,SOFR,-1.0526315789473695,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-23,1.87,SOFR,-0.5319148936170099,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-24,1.9,SOFR,1.6042780748662995,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25,1.87,SOFR,-1.5789473684210422,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26,1.9,SOFR,1.6042780748662995,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-27,1.88,SOFR,-1.0526315789473695,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-30,1.88,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-31,1.93,SOFR,2.659574468085109,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-01,1.88,SOFR,-2.5906735751295358,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-02,1.91,SOFR,1.5957446808510654,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-03,1.86,SOFR,-2.61780104712041,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-06,1.86,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-07,1.87,SOFR,0.5376344086021511,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-08,1.88,SOFR,0.5347593582887586,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-09,1.91,SOFR,1.5957446808510654,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-10,1.9,SOFR,-0.5235602094240842,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-13,1.91,SOFR,0.5263157894736847,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-14,1.93,SOFR,1.0471204188481684,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-15,1.98,SOFR,2.5906735751295358,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-16,1.99,SOFR,0.5050505050505055,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-17,1.9,SOFR,-4.522613065326637,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-20,1.9,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-21,1.9,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-22,1.9,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-23,1.94,SOFR,2.105263157894739,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-24,1.95,SOFR,0.5154639175257737,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-27,1.95,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-28,1.95,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-29,1.93,SOFR,-1.0256410256410264,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-30,1.93,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-31,1.97,SOFR,2.072538860103629,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-04,1.95,SOFR,-1.0152284263959401,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-05,1.95,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-06,1.94,SOFR,-0.5128205128205132,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-07,1.94,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-10,1.94,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-11,1.94,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-12,1.94,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-13,1.94,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-14,1.95,SOFR,0.5154639175257737,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-17,2,SOFR,2.5641025641025665,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-18,1.94,SOFR,-3.0000000000000027,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-19,1.92,SOFR,-1.0309278350515474,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-20,1.92,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-21,1.92,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-24,1.95,SOFR,1.5625000000000013,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-25,1.93,SOFR,-1.0256410256410264,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-26,1.92,SOFR,-0.5181347150259072,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-27,2.16,SOFR,12.50000000000001,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-28,2.25,SOFR,4.16666666666666,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-01,2.22,SOFR,-1.3333333333333246,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-02,2.2,SOFR,-0.9009009009009016,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-03,2.2,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-04,2.18,SOFR,-0.9090909090909097,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-05,2.16,SOFR,-0.9174311926605512,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-09,2.15,SOFR,-0.4629629629629736,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-10,2.15,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-11,2.17,SOFR,0.9302325581395358,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-12,2.18,SOFR,0.46082949308756826,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-15,2.21,SOFR,1.3761467889908165,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-16,2.18,SOFR,-1.3574660633484075,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-17,2.18,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-18,2.19,SOFR,0.45871559633026543,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-19,2.19,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-22,2.18,SOFR,-0.4566210045662003,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-23,2.17,SOFR,-0.45871559633028575,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-24,2.18,SOFR,0.46082949308756826,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-25,2.19,SOFR,0.45871559633026543,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-26,2.19,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-29,2.18,SOFR,-0.4566210045662003,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-30,2.18,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-31,2.22,SOFR,1.8348623853211024,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-01,2.22,SOFR,0,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-02,2.25,SOFR,1.3513513513513424,NA,NA,NA,NA,NA,NA,NA,NA
